"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2021","32,961.3","30,822.3","33,627.6","30,351.7","0.30K","6.94%"
"01/21/2021","30,822.3","35,463.3","35,463.3","30,822.3","0.31K","-13.09%"
"01/20/2021","35,463.3","35,921.8","35,921.8","34,417.4","0.16K","-1.27%"
"01/19/2021","35,918.2","36,630.6","37,600.9","35,918.2","0.24K","-1.94%"
"01/18/2021","36,630.6","35,810.2","36,845.1","35,080.8","0.16K","2.25%"
"01/17/2021","35,825.3","36,014.4","36,629.3","34,640.8","0.15K","-0.52%"
"01/16/2021","36,014.4","36,763.3","37,882.5","36,014.4","0.18K","-2.04%"
"01/15/2021","36,763.3","39,178.4","39,211.8","35,889.8","0.24K","-6.16%"
"01/14/2021","39,178.4","37,356.1","39,705.0","37,356.1","0.22K","4.88%"
"01/13/2021","37,356.1","34,068.9","37,356.1","32,476.4","0.27K","9.65%"
"01/12/2021","34,068.9","35,367.3","36,062.9","33,618.2","0.32K","-3.67%"
"01/11/2021","35,367.3","38,173.8","38,173.8","30,651.6","0.66K","-7.37%"
"01/10/2021","38,181.5","40,093.5","40,968.0","38,181.5","0.34K","-4.77%"
"01/09/2021","40,093.5","40,573.4","41,125.0","39,449.1","0.15K","-1.18%"
"01/08/2021","40,573.4","39,429.5","41,226.2","37,951.6","0.31K","2.90%"
"01/07/2021","39,429.5","36,716.5","39,429.5","36,716.5","0.28K","7.39%"
"01/06/2021","36,716.5","33,942.1","36,716.5","33,808.0","0.29K","8.17%"
"01/05/2021","33,942.1","32,000.0","33,942.1","30,940.8","0.25K","6.14%"
"01/04/2021","31,977.3","33,015.3","33,225.9","30,246.4","0.35K","-3.14%"
"01/03/2021","33,015.3","32,196.7","34,270.2","32,196.7","0.29K","2.54%"
"01/02/2021","32,196.7","29,315.9","32,900.0","29,148.0","0.29K","9.83%"
"01/01/2021","29,315.9","28,959.1","29,328.2","28,959.1","0.08K","1.23%"
